sample,SOM,PH,BP,HN,TN,AK,SAK,MBC,MBN,MBP,ALP,DH,URE,CAT,NR
PSS1,17.428,6.45,38.443,86.063,1.066,128.106,478.004,159.717,26.019,6.465,706.132,25.259,0.239,1.68,0.733
PSS2,14.498,6.39,30.546,75.854,0.963,105.739,558.863,174.791,28.437,7.857,762.761,28.836,0.28,1.825,0.933
PSS3,19.311,6.46,39.198,94.209,1.095,121.527,434.228,118.89,20.585,5.094,506.426,18.684,0.101,0.848,0.296
PSS4,24.924,6.38,47.223,117.137,1.194,138.217,449.054,180.768,31.228,8.435,790.468,32.972,0.317,1.922,1.063
PSS5,15.839,6.4,34.399,77.346,0.971,115.032,537.662,308.585,49.134,12.06,1246.853,49.017,0.305,2.475,1.367
PSS6,12.166,7.12,30.947,63.587,0.907,77.804,329.841,217.106,37.517,8.803,842.23,33.205,0.218,1.855,0.884
NPSS1,15.502,6.41,32.209,74.466,0.984,113.189,548.595,124.241,21.601,5.534,580.059,18.989,0.127,1.122,0.588
NPSS2,18.262,6.52,40.432,91.564,1.073,130.586,472.035,159.035,26.926,7.003,736.395,25.928,0.266,1.661,0.871
NPSS3,16.474,6.48,35.205,81.263,1.009,121.882,507.991,116.51,20.006,4.48,468.502,17.894,0.109,0.752,0.313
NPSS4,13.405,7.2,31.348,66.844,0.928,80.019,312.979,176.518,27.939,7.575,770.255,31.021,0.155,1.274,0.609
NPSS5,16.143,6.41,34.034,80.148,1.026,117.155,540.909,146.976,21.722,5.963,616.215,24.894,0.121,1.073,0.621
NPSS6,18.976,6.47,38.022,95.061,1.08,124.745,504.868,155.973,24.824,6.75,665.905,28.22,0.254,1.742,0.738
